    19.0000   -4.414941E-06  4.630959E-04  8.167188E+01
    19.0500    8.330585E-05  4.913101E-04  8.185179E+01
    19.1000    1.821550E-04  5.237116E-04  8.203665E+01
    19.1500    2.910341E-04  5.603420E-04  8.222754E+01
    19.2000    4.069634E-04  6.010635E-04  8.242519E+01
    19.2500    5.245672E-04  6.455827E-04  8.262992E+01
    19.3000    6.358817E-04  6.934799E-04  8.284176E+01
    19.3500    7.306024E-04  7.442393E-04  8.306048E+01
    19.4000    7.968291E-04  7.972759E-04  8.328569E+01
    19.4500    8.222857E-04  8.519567E-04  8.351690E+01
    19.5000    7.959055E-04  9.076187E-04  8.375359E+01
    19.5500    7.095926E-04  9.635816E-04  8.399525E+01
    19.6000    5.599148E-04  1.019159E-03  8.424137E+01
    19.6500    3.494584E-04  1.073665E-03  8.449148E+01
    19.7000    8.759259E-05  1.126423E-03  8.474516E+01
    19.7500   -2.095520E-04  1.176774E-03  8.500203E+01
    19.8000   -5.199901E-04  1.224075E-03  8.526175E+01
    19.8500   -8.176574E-04  1.267714E-03  8.552401E+01
    19.9000   -1.074911E-03  1.307105E-03  8.578855E+01
    19.9500   -1.265493E-03  1.341701E-03  8.605514E+01
    20.0000   -1.367614E-03  1.370993E-03  8.632357E+01
